year,district,Crime Type,Total Crime
2008,Bahawalpur Div.,burglaries,1353
2008,Bahawalnagar,burglaries,299
2008,Bahawalpur,burglaries,546
2008,Rahim Yar Khan,burglaries,508
2008,D.G.Khan Division,burglaries,839
2008,D.G.Khan,burglaries,124
2008,Layyah,burglaries,157
2008,Muzaffargarh,burglaries,389
2008,Rajanpur,burglaries,169
2008,Faisalabad Div.,burglaries,1188
2008,Faisalabad,burglaries,771
2008,Chiniot,burglaries,
2008,Jhang,burglaries,304
2008,T.T.Singh,burglaries,113
2008,Gujranwala Div.,burglaries,1063
2008,Gujranwala,burglaries,391
2008,Gujrat,burglaries,183
2008,Hafizabad,burglaries,92
2008,Mandi Baha-ud-Din,burglaries,123
2008,Narowal,burglaries,59
2008,Sialkot,burglaries,215
2008,Lahore Division,burglaries,3111
2008,Kasur,burglaries,221
2008,Lahore,burglaries,2538
2008,Nankana Sahib,burglaries,119
2008,Sheikhupura,burglaries,233
2008,Multan Division,burglaries,1316
2008,Khanewal,burglaries,256
2008,Lodhran,burglaries,136
2008,Multan,burglaries,673
2008,Vehari,burglaries,251
2008,Rawalpindi Div.,burglaries,844
2008,Attock,burglaries,82
2008,Chakwal,burglaries,120
2008,Jhelum,burglaries,85
2008,Rawalpindi,burglaries,557
2008,Sahiwal Division,burglaries,721
2008,Sahiwal,burglaries,209
2008,Okara,burglaries,326
2008,Pakpattan,burglaries,186
2008,Sargodha Div.,burglaries,781
2008,Bhakkar,burglaries,147
2008,Khushab,burglaries,99
2008,Mianwali,burglaries,128
2008,Sargodha,burglaries,407
2009,Bahawalpur Div.,burglaries,1354
2009,Bahawalnagar,burglaries,360
2009,Bahawalpur,burglaries,523
2009,Rahim Yar Khan,burglaries,471
2009,D.G.Khan Division,burglaries,953
2009,D.G.Khan,burglaries,159
2009,Layyah,burglaries,135
2009,Muzaffargarh,burglaries,435
2009,Rajanpur,burglaries,224
2009,Faisalabad Div.,burglaries,1391
2009,Faisalabad,burglaries,874
2009,Chiniot,burglaries,176
2009,Jhang,burglaries,205
2009,T.T.Singh,burglaries,136
2009,Gujranwala Div.,burglaries,984
2009,Gujranwala,burglaries,366
2009,Gujrat,burglaries,177
2009,Hafizabad,burglaries,86
2009,Mandi Baha-ud-Din,burglaries,97
2009,Narowal,burglaries,54
2009,Sialkot,burglaries,204
2009,Lahore Division,burglaries,3093
2009,Kasur,burglaries,195
2009,Lahore,burglaries,2499
2009,Nankana Sahib,burglaries,90
2009,Sheikhupura,burglaries,309
2009,Multan Division,burglaries,1390
2009,Khanewal,burglaries,259
2009,Lodhran,burglaries,151
2009,Multan,burglaries,719
2009,Vehari,burglaries,261
2009,Rawalpindi Div.,burglaries,919
2009,Attock,burglaries,97
2009,Chakwal,burglaries,135
2009,Jhelum,burglaries,86
2009,Rawalpindi,burglaries,601
2009,Sahiwal Division,burglaries,686
2009,Sahiwal,burglaries,221
2009,Okara,burglaries,257
2009,Pakpattan,burglaries,208
2009,Sargodha Div.,burglaries,791
2009,Bhakkar,burglaries,144
2009,Khushab,burglaries,92
2009,Mianwali,burglaries,89
2009,Sargodha,burglaries,466
2010,PUNJAB,burglaries,12683
2010,Bahawalpur Div.,burglaries,1522
2010,Bahawalnagar,burglaries,339
2010,Bahawalpur,burglaries,628
2010,Rahim Yar Khan,burglaries,555
2010,D.G.Khan Division,burglaries,996
2010,D.G.Khan,burglaries,160
2010,Layyah,burglaries,128
